"data_pnt_can_id","data_pnt_name","dev_name","msrmnt_name"
4100,"Flash Serial","BMS DC-DC Board","BMS DC-DC Heartbeat"
4096,"Device Id","BMS DC-DC Board","BMS DC-DC Heartbeat"
4144,"Cell Temp","BMS DC-DC Board","BMS DC-DC Cell Temp"
4166,"Cell 4 Voltage","BMS DC-DC Board","BMS DC-DC Cell Voltages"
4164,"Cell 3 Voltage","BMS DC-DC Board","BMS DC-DC Cell Voltages"
4162,"Cell 2 Voltage","BMS DC-DC Board","BMS DC-DC Cell Voltages"
4160,"Cell 1 Voltage","BMS DC-DC Board","BMS DC-DC Cell Voltages"
4180,"Net 12v Current","BMS DC-DC Board","BMS DC-DC Cell Currents"
4176,"HV DC-DC Curent","BMS DC-DC Board","BMS DC-DC Cell Currents"
4194,"Status Flags","BMS DC-DC Board","BMS DC-DC Status Info"
4192,"Status Events","BMS DC-DC Board","BMS DC-DC Status Info"
12820,"Windchill Temp","Weather Station","Weather Station Temp"
12816,"Air Temp","Weather Station","Weather Station Temp"
12836,"Relative Humidity","Weather Station","Weather Station Humidity"
12832,"Air Pressure","Weather Station","Weather Station Humidity"
12852,"Wind Speed","Weather Station","Weather Station Wind"
12848,"Wind Direction","Weather Station","Weather Station Wind"
12864,"Compass Heading","Weather Station","Weather Station Compass"
12884,"Actual Global Radiation","Weather Station","Weather Station Radiation"
12880,"Average Global Radiation","Weather Station","Weather Station Radiation"
12900,"Min Global Radiation","Weather Station","Weather Station Radiation Range"
12896,"Max Global Radiation","Weather Station","Weather Station Radiation Range"
12912,"Air Density","Weather Station","Weather Station Air"
13072,"Latitude","Global Positioning System","GPS Location"
13076,"Longitude","Global Positioning System","GPS Location"
13088,"Velocity","Global Positioning System","GPS Speed / Direction"
13092,"Direction","Global Positioning System","GPS Speed / Direction"
13104,"Altitude","Global Positioning System","GPS Altitude / Satelite Nos"
13108,"Visible Satelites","Global Positioning System","GPS Altitude / Satelite Nos"
13328,"Array 1 Power","Telemetry Calculated Data","Bonnet Array Power"
13344,"Array 2 Power","Telemetry Calculated Data","Roof Array Power"
13360,"Array 3 Power","Telemetry Calculated Data","Boot Array Power"
13376,"Total Array Power","Telemetry Calculated Data","Total Array Power"
13392,"Total Bus Power","Telemetry Calculated Data","Bus Power"
13408,"Net Power Position","Telemetry Calculated Data","Net Power Position"
13424,"Distance Travelled","Telemetry Calculated Data","Distance"
13428,"Distance Remaining","Telemetry Calculated Data","Distance"
16388,"Serial Number","Wave Sculptor - 1","Wave Sculptor Device Info"
16384,"Device ID","Wave Sculptor - 1","Wave Sculptor Device Info"
16407,"CAN Rx Errors (Uint8)","Wave Sculptor - 1","Wave Sculptor Status Info"
16406,"CAN Tx Errors","Wave Sculptor - 1","Wave Sculptor Status Info"
16404,"Active Motor Index","Wave Sculptor - 1","Wave Sculptor Status Info"
16402,"Error Flags","Wave Sculptor - 1","Wave Sculptor Status Info"
16400,"Limiting Flags","Wave Sculptor - 1","Wave Sculptor Status Info"
16420,"Bus Current","Wave Sculptor - 1","Wave Sculptor Bus Measurement"
16416,"Bus Voltage","Wave Sculptor - 1","Wave Sculptor Bus Measurement"
16436,"Vehicle Velocity m/s","Wave Sculptor - 1","Wave Sculptor Velocity"
16432,"Motor rpm","Wave Sculptor - 1","Wave Sculptor Velocity"
16452,"Phase C RMS current","Wave Sculptor - 1","Wave Sculptor Phase Current"
16448,"Phase B RMS current","Wave Sculptor - 1","Wave Sculptor Phase Current"
16468,"Real-axis motor voltage vector","Wave Sculptor - 1","Wave Sculptor Motor Voltage"
16464,"Imaginary-axis motor voltage vector","Wave Sculptor - 1","Wave Sculptor Motor Voltage"
16484,"Real-axis motor current vector","Wave Sculptor - 1","Wave Sculptor Motor Current"
16480,"Imaginary-axis motor current vector","Wave Sculptor - 1","Wave Sculptor Motor Current"
16496,"Peak phase-neutral motor voltage estimation","Wave Sculptor - 1","Wave Sculptor Motor Back EMF"
16516,"15V supply voltage","Wave Sculptor - 1","Wave Sculptor Supply Voltage"
16532,"3.3V supply voltage","Wave Sculptor - 1","Wave Sculptor DSP Supply Voltage"
16528,"1.9V supply voltage","Wave Sculptor - 1","Wave Sculptor DSP Supply Voltage"
16564,"WS22 heatsink temperature","Wave Sculptor - 1","Wave Sculptor Heat Motor Temp"
16560,"Motor temperature","Wave Sculptor - 1","Wave Sculptor Heat Motor Temp"
