data_pnt_can_id,dev_name,msrmnt_name,data_pnt_name
12820,Weather Station,Weather Station Temp,Windchill Temp
12816,Weather Station,Weather Station Temp,Air Temp
12836,Weather Station,Weather Station Humidity,Relative Humidity
12832,Weather Station,Weather Station Humidity,Air Pressure
12852,Weather Station,Weather Station Wind,Wind Speed
12848,Weather Station,Weather Station Wind,Wind Direction
12864,Weather Station,Weather Station Compass,Compass Heading
12884,Weather Station,Weather Station Radiation,Actual Global Radiation
12880,Weather Station,Weather Station Radiation,Average Global Radiation
12900,Weather Station,Weather Station Radiation Range,Min Global Radiation
12896,Weather Station,Weather Station Radiation Range,Max Global Radiation
12912,Weather Station,Weather Station Air,Air Density
13072,Global Positioning System,GPS Location,Latitude
13076,Global Positioning System,GPS Location,Longitude
13088,Global Positioning System,GPS Speed / Direction,Velocity
13092,Global Positioning System,GPS Speed / Direction,Direction
13104,Global Positioning System,GPS Altitude / Satelite Nos,Altitude
13108,Global Positioning System,GPS Altitude / Satelite Nos,Visible Satelites
16388,Wave Sculptor,Wave Sculptor Device Info,Serial Number
16384,Wave Sculptor,Wave Sculptor Device Info,Device ID
16407,Wave Sculptor,Wave Sculptor Status Info,CAN Rx Errors (Uint8)
16406,Wave Sculptor,Wave Sculptor Status Info,CAN Tx Errors
16404,Wave Sculptor,Wave Sculptor Status Info,Active Motor Index
16402,Wave Sculptor,Wave Sculptor Status Info,Error Flags
16400,Wave Sculptor,Wave Sculptor Status Info,Limiting Flags
16420,Wave Sculptor,Wave Sculptor Bus Measurement,Bus Current
16416,Wave Sculptor,Wave Sculptor Bus Measurement,Bus Voltage
16436,Wave Sculptor,Wave Sculptor Velocity,Vehicle Velocity m/s
16432,Wave Sculptor,Wave Sculptor Velocity,Motor rpm
16452,Wave Sculptor,Wave Sculptor Phase Current,Phase C RMS current
16448,Wave Sculptor,Wave Sculptor Phase Current,Phase B RMS current
16468,Wave Sculptor,Wave Sculptor Motor Voltage,Real-axis motor voltage vector
16464,Wave Sculptor,Wave Sculptor Motor Voltage,Imaginary-axis motor voltage vector
16484,Wave Sculptor,WWave Sculptor Motor Current,Real-axis motor current vector
16480,Wave Sculptor,WWave Sculptor Motor Current,Imaginary-axis motor current vector
16496,Wave Sculptor,Wave Sculptor Motor Back EMF,Peak phase-neutral motor voltage estimation
16516,Wave Sculptor,Wave Sculptor Supply Voltage,15V supply voltage
16532,Wave Sculptor,Wave Sculptor DSP Supply Voltage,3.3V supply voltage
16528,Wave Sculptor,Wave Sculptor DSP Supply Voltage,1.9V supply voltage
16564,Wave Sculptor,Wave Sculptor Heat Motor Temp,WS22 heatsink temperature
16560,Wave Sculptor,Wave Sculptor Heat Motor Temp,Motor temperature
16576,Wave Sculptor,Wave Sculptor DSP Temp,DSP operating temperature
16612,Wave Sculptor,Wave Sculptor Energy and Odometer,Ah consumed by WS22 since last reset
16608,Wave Sculptor,Wave Sculptor Energy and Odometer,Distance (metres) travelled
20484,Driver Controller,Driver Controller Device info,Serial Number
20480,Driver Controller,Driver Controller Device info,Device ID
20500,Driver Controller,Driver Controller Motor Drive Command,Motor current setpoint percentage
20496,Driver Controller,Driver Controller Motor Drive Command,Motor rpm setpoint
20516,Driver Controller,Driver Controller Motor Power Command,Bus current setpoint percentage
20567,Driver Controller,Driver Controller Switch Positions,State
20566,Driver Controller,Driver Controller Switch Positions,Flags
20560,Driver Controller,Driver Controller Switch Positions,Switch position bitfield
24580,Battery Management System,Battery Management System Device Info,Serial Number
24576,Battery Management System,Battery Management System Device Info,Device ID
24598,Battery Management System,Battery Management System CMU 0 Status,Cell temperature
24596,Battery Management System,Battery Management System CMU 0 Status,CMU PCB temperature
24592,Battery Management System,Battery Management System CMU 0 Status,CMU serial number
24646,Battery Management System,Battery Management System CMU 1 Status,Cell temperature
24644,Battery Management System,Battery Management System CMU 1 Status,CMU PCB temperature
24640,Battery Management System,Battery Management System CMU 1 Status,CMU serial number
24694,Battery Management System,Battery Management System CMU 2 Status,Cell temperature
24692,Battery Management System,Battery Management System CMU 2 Status,CMU PCB temperature
24688,Battery Management System,Battery Management System CMU 2 Status,CMU serial number
24742,Battery Management System,Battery Management System CMU 3 Status,Cell temperature
24740,Battery Management System,Battery Management System CMU 3 Status,CMU PCB temperature
24736,Battery Management System,Battery Management System CMU 3 Status,CMU serial number
24790,Battery Management System,Battery Management System CMU 4 Status,Cell temperature
24788,Battery Management System,Battery Management System CMU 4 Status,CMU PCB temperature
24784,Battery Management System,Battery Management System CMU 4 Status,CMU serial number
24614,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 0),Cell 3 Voltage
24612,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 0),Cell 2 Voltage
24610,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 0),Cell 1 Voltage
