Latitude,Longitude,Altitude (m)
-12.465990000,130.842770000,38.4
-12.465750000,130.842560000,38.3
-12.465520000,130.842520000,39.5
-12.465520000,130.842520000,39.5
-12.465360000,130.842830000,39.7
-12.462960000,130.845190000,32.7
-12.462200000,130.845860000,24.4
-12.462200000,130.845860000,24.4
-12.461810000,130.846210000,20.4
-12.461000000,130.846700000,19.4
-12.460450000,130.846860000,18.2
-12.459700000,130.846940000,17.1
-12.459040000,130.846900000,16.6
-12.458150000,130.846700000,12.2
-12.456680000,130.846010000,11.1
-12.456360000,130.845910000,10.5
-12.455730000,130.845830000,9.0
-12.455210000,130.845860000,8.9
-12.454240000,130.846150000,10.2
-12.453660000,130.846470000,9.3
-12.453310000,130.846710000,8.9
-12.452600000,130.847340000,9.6
-12.451740000,130.847840000,13.4
-12.451000000,130.848130000,13.7
-12.447890000,130.848950000,9.2
-12.447230000,130.849070000,10.6
-12.446090000,130.849140000,11.6
-12.445400000,130.849140000,12.3
-12.443160000,130.848990000,13.9
-12.441960000,130.849000000,12.3
-12.440300000,130.849270000,5.4
-12.438800000,130.849870000,8.2
-12.437770000,130.850540000,11.8
-12.437140000,130.851060000,16.5
-12.436760000,130.851440000,21.8
-12.436040000,130.852380000,24.6
-12.435610000,130.853060000,24.2
-12.435310000,130.853660000,23.2
-12.433620000,130.857870000,18.1
-12.433330000,130.858700000,18.5
-12.433000000,130.859450000,13.2
-12.432710000,130.860360000,7.8
-12.432470000,130.861760000,6.9
-12.432430000,130.862640000,5.6
-12.432460000,130.866420000,7.7
-12.432380000,130.876980000,25.1
-12.432410000,130.877190000,25.0
-12.432360000,130.890630000,20.1
-12.432550000,130.891970000,22.4
-12.432790000,130.893030000,26.2
-12.433040000,130.893830000,28.3
-12.433680000,130.895350000,26.5
-12.434510000,130.896710000,17.9
-12.437480000,130.900580000,17.7
-12.438120000,130.901630000,26.6
-12.438510000,130.902470000,31.0
-12.438860000,130.903400000,32.2
-12.439120000,130.904310000,34.4
-12.439910000,130.908940000,33.8
-12.440090000,130.909670000,33.2
-12.440680000,130.911300000,29.2
-12.441250000,130.912470000,21.1
-12.442040000,130.913640000,15.3
-12.443750000,130.915840000,13.0
-12.444340000,130.916480000,12.8
-12.444940000,130.917020000,13.5
-12.445450000,130.917390000,14.8
-12.448160000,130.919070000,17.1
-12.448750000,130.919600000,19.1
-12.449020000,130.919940000,19.1
-12.449340000,130.920450000,16.3
-12.449530000,130.920900000,14.7
-12.449820000,130.921800000,13.3
-12.449920000,130.922580000,13.2
-12.449960000,130.925020000,16.2
-12.449920000,130.926130000,18.1
-12.450080000,130.927370000,20.0
-12.451110000,130.930890000,24.8
-12.453380000,130.937900000,15.1
-12.454030000,130.939580000,15.0
-12.454340000,130.940570000,16.0
-12.455070000,130.942280000,13.6
-12.456680000,130.945710000,13.7
-12.457950000,130.948620000,16.6
-12.458440000,130.949610000,18.0
-12.459110000,130.950880000,18.0
-12.460190000,130.952740000,15.9
-12.462310000,130.956050000,17.5
-12.463320000,130.958410000,22.3
-12.463630000,130.959560000,26.9
-12.463910000,130.961110000,28.5
-12.464050000,130.962850000,31.9
-12.464030000,130.964960000,39.6
-12.463780000,130.966780000,36.6
-12.463750000,130.969810000,32.0
-12.463980000,130.971870000,26.1
-12.464230000,130.973540000,26.1
-12.464590000,130.974950000,28.3
-12.464980000,130.976050000,32.2
-12.465790000,130.977520000,31.1
-12.467420000,130.980000000,31.8
-12.467420000,130.980000000,31.8
-12.468790000,130.982240000,32.9
-12.469360000,130.983440000,34.2
-12.469520000,130.983920000,35.3
-12.469760000,130.984990000,35.2
-12.471310000,130.992190000,42.9
-12.471750000,130.993570000,41.7
-12.472130000,130.994440000,43.8
-12.472680000,130.995540000,45.8
-12.473240000,130.996440000,46.2
-12.473960000,130.997450000,46.1
-12.474740000,130.998380000,45.9
-12.481320000,131.004640000,35.6
-12.482050000,131.005470000,32.1
-12.483530000,131.007360000,26.4
-12.484550000,131.008430000,27.2
-12.485520000,131.009230000,35.5
-12.486300000,131.009750000,37.3
-12.487100000,131.010190000,37.7
-12.488140000,131.010640000,41.0
-12.489500000,131.011040000,42.3
-12.493250000,131.011830000,43.3
-12.494360000,131.012230000,44.9
-12.495160000,131.012580000,43.7
-12.509780000,131.020980000,34.2
-12.511050000,131.021850000,26.3
-12.512160000,131.022870000,24.6
-12.512810000,131.023590000,22.5
-12.513580000,131.024690000,19.5
-12.514090000,131.025590000,20.2
-12.514410000,131.026290000,22.3
-12.514770000,131.027250000,25.3
-12.515810000,131.030950000,38.4
-12.516290000,131.032080000,40.2
-12.516600000,131.032610000,40.8
-12.523780000,131.042880000,46.4
-12.524760000,131.044400000,46.6
-12.526460000,131.046640000,50.7
-12.527190000,131.047440000,50.1
-12.528890000,131.049040000,50.2
-12.536340000,131.055140000,47.0
-12.540900000,131.059170000,48.0
-12.555190000,131.069340000,42.4
-12.558350000,131.071510000,42.6
-12.559050000,131.071910000,42.6
-12.560030000,131.072390000,42.1
-12.561150000,131.072830000,41.7
-12.562450000,131.073230000,40.0
-12.563530000,131.073480000,39.5
-12.564610000,131.073620000,38.1
-12.564610000,131.073620000,38.1
-12.573600000,131.073670000,34.3
-12.584080000,131.073610000,27.9
-12.587270000,131.073660000,31.7
-12.590480000,131.073570000,30.3
-12.592970000,131.073630000,24.9
-12.613380000,131.073550000,19.9
-12.614570000,131.073630000,19.9
-12.617520000,131.073500000,23.2
-12.623150000,131.072570000,26.6
-12.623890000,131.072510000,27.7
-12.626470000,131.072580000,26.1
-12.632920000,131.073610000,36.0
-12.633960000,131.073740000,37.7
-12.636450000,131.074200000,36.2
-12.641900000,131.075110000,35.9
-12.648050000,131.076370000,35.1
-12.652860000,131.077110000,39.3
-12.658940000,131.078150000,46.2
-12.664200000,131.078980000,51.7
-12.668800000,131.079580000,52.1
-12.672130000,131.080080000,51.9
-12.680590000,131.081520000,57.0
-12.681320000,131.081600000,58.1
-12.683070000,131.081900000,54.9
-12.690670000,131.084070000,55.8
-12.691860000,131.084370000,57.1
-12.693300000,131.084640000,58.1
-12.701540000,131.085610000,57.9
-12.712170000,131.086990000,58.8
-12.733150000,131.089530000,44.2
-12.735330000,131.089920000,44.9
-12.737400000,131.090450000,43.1
-12.739050000,131.091010000,45.8
-12.740800000,131.091740000,48.3
-12.741880000,131.092250000,53.3
-12.769430000,131.106600000,58.7
-12.771820000,131.108040000,48.2
-12.772680000,131.108620000,44.2
-12.773960000,131.109600000,41.7
-12.775640000,131.111060000,38.9
-12.776430000,131.111840000,35.8
-12.777720000,131.113280000,35.0
-12.781910000,131.118590000,34.9
-12.783690000,131.120770000,35.2
-12.784360000,131.121360000,33.1
-12.785230000,131.122000000,32.5
-12.786550000,131.122660000,32.5
-12.787570000,131.123020000,31.4
-12.788320000,131.123190000,33.6
-12.789540000,131.123350000,34.8
-12.790170000,131.123350000,36.1
-12.805910000,131.122320000,38.4
-12.806340000,131.122310000,38.6
-12.807190000,131.122390000,39.0
-12.808110000,131.122590000,41.0
-12.808650000,131.122790000,40.5
-12.809860000,131.123410000,40.5
-12.817180000,131.127870000,56.5
-12.821100000,131.130340000,53.0
-12.822780000,131.131340000,50.4
-12.824360000,131.132080000,48.5
-12.824720000,131.132220000,48.0
-12.825430000,131.132380000,47.0
-12.826710000,131.132540000,46.9
-12.831110000,131.132540000,42.7
-12.832270000,131.132640000,40.6
