data_pnt_can_id,data_pnt_name,dev_name,msrmnt_name
28496,Balance Ah,Wave Sculptor,Battery Management System Pack Balance
28500,Balance Percentage,Wave Sculptor,Battery Management System Pack Balance
16608,Distance (metres) travelled,Wave Sculptor,Wave Sculptor Energy and Odometer
16612,Ah consumed by WS22 since last reset,Wave Sculptor,Wave Sculptor Energy and Odometer
16576,DSP operating temperature,Wave Sculptor,Wave Sculptor DSP Temp
16560,Motor temperature,Wave Sculptor,Wave Sculptor Heat Motor Temp
16564,WS22 heatsink temperature,Wave Sculptor,Wave Sculptor Heat Motor Temp
16528,1.9V supply voltage,Wave Sculptor,Wave Sculptor DSP Supply Voltage
16532,3.3V supply voltage,Wave Sculptor,Wave Sculptor DSP Supply Voltage
16516,15V supply voltage,Wave Sculptor,Wave Sculptor Supply Voltage
16496,Peak phase-neutral motor voltage estimation,Wave Sculptor,Wave Sculptor Motor Back EMF
16480,Imaginary-axis motor current vector,Wave Sculptor,Wave Sculptor Motor Current
16484,Real-axis motor current vector,Wave Sculptor,Wave Sculptor Motor Current
16464,Imaginary-axis motor voltage vector,Wave Sculptor,Wave Sculptor Motor Voltage
16468,Real-axis motor voltage vector,Wave Sculptor,Wave Sculptor Motor Voltage
16448,Phase B RMS current,Wave Sculptor,Wave Sculptor Phase Current
16452,Phase C RMS current,Wave Sculptor,Wave Sculptor Phase Current
16432,Motor rpm,Wave Sculptor,Wave Sculptor Velocity
16436,Vehicle Velocity m/s,Wave Sculptor,Wave Sculptor Velocity
16416,Bus Voltage,Wave Sculptor,Wave Sculptor Bus Measurement
16420,Bus Current,Wave Sculptor,Wave Sculptor Bus Measurement
16400,Limiting Flags,Wave Sculptor,Wave Sculptor Status Info
16402,Error Flags,Wave Sculptor,Wave Sculptor Status Info
16404,Active Motor Index,Wave Sculptor,Wave Sculptor Status Info
16406,CAN Tx Errors,Wave Sculptor,Wave Sculptor Status Info
16407,CAN Rx Errors (Uint8),Wave Sculptor,Wave Sculptor Status Info
16384,Device ID,Wave Sculptor,Wave Sculptor Device Info
16388,Serial Number,Wave Sculptor,Wave Sculptor Device Info
20560,Switch position bitfield,Driver Controller,Driver Controller Switch Positions
20566,Flags,Driver Controller,Driver Controller Switch Positions
20567,State,Driver Controller,Driver Controller Switch Positions
20516,Bus current setpoint percentage,Driver Controller,Driver Controller Motor Power Command
20496,Motor rpm setpoint,Driver Controller,Driver Controller Motor Drive Command
20500,Motor current setpoint percentage,Driver Controller,Driver Controller Motor Drive Command
