Packet num, ID   , flags, data              , float[1]    , float[0]    , sender addr 
3461      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3462      , 0x6FA,      , 0xFFFFFFFC00000000, -1.#QNAN    , 0           , 192.168.1.2
3463      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3464      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3465      , 0x6FA,      , 0x0000000100000000, 1.4013e-045 , 0           , 192.168.1.2
3466      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3467      , 0x6F9,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3468      , 0x600,      , 0x0000255F00001000, 1.34062e-041, 5.73972e-042, 192.168.1.2
3469      , 0x6FB,      , 0x036703B00E100E42, 6.7889e-037 , 1.77562e-030, 192.168.1.2
3470      , 0x6F7,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3471      , 0x6F4,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3472      , 0x6F5,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3473      , 0x6FC,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3474      , 0x6FD,      , 0x00000007000002B0, 9.80909e-045, 9.64093e-043, 192.168.1.2
3475      , 0x401,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3476      , 0x403,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3477      , 0x407,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3478      , 0x417,      , 0x0000000042C7FFFF, 0           , 100         , 192.168.1.2
3479      , 0x406,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3480      , 0x405,      , 0xBDFE843EBDBB7FFF, -0.124276   , -0.0915527  , 192.168.1.2
3481      , 0x404,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3482      , 0x402,      , 0x00000000415AE328, 0           , 13.6805     , 192.168.1.2
3483      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3484      , 0x6FA,      , 0x0000000600000000, 8.40779e-045, 0           , 192.168.1.2
3485      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3486      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3487      , 0x6FA,      , 0xFFFFFFF900000000, -1.#QNAN    , 0           , 192.168.1.2
3488      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3489      , 0x401,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3490      , 0x404,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3491      , 0x407,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3492      , 0x417,      , 0x0000000042C7FFFF, 0           , 100         , 192.168.1.2
3493      , 0x406,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3494      , 0x405,      , 0xBDFCBF1EBDBAA53F, -0.123411   , -0.0911355  , 192.168.1.2
3495      , 0x403,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3496      , 0x402,      , 0x00000000415ACE0A, 0           , 13.6753     , 192.168.1.2
3497      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3498      , 0x6FA,      , 0xFFFFFFF700000000, -1.#QNAN    , 0           , 192.168.1.2
3499      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3500      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3501      , 0x6FA,      , 0x0000000200000000, 2.8026e-045 , 0           , 192.168.1.2
3502      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3503      , 0x401,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3504      , 0x404,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3505      , 0x407,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3506      , 0x417,      , 0x0000000042C7FFFF, 0           , 100         , 192.168.1.2
3507      , 0x406,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3508      , 0x405,      , 0xBDFD2C7EBDB6AD9F, -0.12362    , -0.0891983  , 192.168.1.2
3509      , 0x403,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3510      , 0x402,      , 0x00000000415AAEE9, 0           , 13.6677     , 192.168.1.2
3511      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3512      , 0x6FA,      , 0xFFFFFFFE00000000, -1.#QNAN    , 0           , 192.168.1.2
3513      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3514      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3515      , 0x6FA,      , 0xFFFFFFFE00000000, -1.#QNAN    , 0           , 192.168.1.2
3516      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3517      , 0x401,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3518      , 0x404,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3519      , 0x407,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3520      , 0x417,      , 0x0000000042C7FFFF, 0           , 100         , 192.168.1.2
3521      , 0x406,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3522      , 0x405,      , 0xBE00056FBDBA189F, -0.125021   , -0.0908673  , 192.168.1.2
3523      , 0x403,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3524      , 0x402,      , 0x00000000415AB7D2, 0           , 13.6699     , 192.168.1.2
3525      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3526      , 0x6FA,      , 0xFFFFFFEE00000000, -1.#QNAN    , 0           , 192.168.1.2
3527      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3528      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3529      , 0x6FA,      , 0xFFFFFFF800000000, -1.#QNAN    , 0           , 192.168.1.2
3530      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3531      , 0x401,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3532      , 0x404,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3533      , 0x407,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3534      , 0x408,      , 0x416EC8403BBA0900, 14.9239     , 0.00567734  , 192.168.1.2
3535      , 0x40B,      , 0x41A4B0F842966438, 20.5864     , 75.1957     , 192.168.1.2
3536      , 0x40E,      , 0x3B36A0D1C37AD036, 0.00278669  , -250.813    , 192.168.1.2
3537      , 0x417,      , 0x0000000042C7FFFF, 0           , 100         , 192.168.1.2
3538      , 0x40D,      , 0x0000000044B705F3, 0           , 1464.19     , 192.168.1.2
3539      , 0x40C,      , 0x0000000041DDFBD0, 0           , 27.748      , 192.168.1.2
3540      , 0x409,      , 0x4052B17B3FED7747, 3.29208     , 1.8552      , 192.168.1.2
3541      , 0x406,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3542      , 0x405,      , 0xBDFFEB9EBDB8343F, -0.124961   , -0.0899434  , 192.168.1.2
3543      , 0x403,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3544      , 0x402,      , 0x00000000415AFCAB, 0           , 13.6867     , 192.168.1.2
3545      , 0x400,      , 0x0000245438383054, 1.30321e-041, 4.3914e-005 , 192.168.1.2
3546      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3547      , 0x6FA,      , 0xFFFFFFFE00000000, -1.#QNAN    , 0           , 192.168.1.2
3548      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3549      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3550      , 0x6FA,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3551      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3552      , 0x6F9,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3553      , 0x600,      , 0x0000255F00001000, 1.34062e-041, 5.73972e-042, 192.168.1.2
3554      , 0x6FB,      , 0x036703B00E100E42, 6.7889e-037 , 1.77562e-030, 192.168.1.2
3555      , 0x6F7,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3556      , 0x6F4,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3557      , 0x6F5,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3558      , 0x6FC,      , 0x0000000200000000, 2.8026e-045 , 0           , 192.168.1.2
3559      , 0x6FD,      , 0x00000007000002B0, 9.80909e-045, 9.64093e-043, 192.168.1.2
3560      , 0x401,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3561      , 0x404,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3562      , 0x407,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3563      , 0x417,      , 0x0000000042C7FFFF, 0           , 100         , 192.168.1.2
3564      , 0x406,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3565      , 0x405,      , 0xBDFF10DEBDBB705F, -0.124544   , -0.0915229  , 192.168.1.2
3566      , 0x403,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3567      , 0x402,      , 0x00000000415ABEA8, 0           , 13.6715     , 192.168.1.2
3568      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3569      , 0x6FA,      , 0xFFFFFFFC00000000, -1.#QNAN    , 0           , 192.168.1.2
3570      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3571      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3572      , 0x6FA,      , 0xFFFFFFFC00000000, -1.#QNAN    , 0           , 192.168.1.2
3573      , 0x6F6,      , 0x0001000000000000, 9.18355e-041, 0           , 192.168.1.2
3574      , 0x401,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3575      , 0x404,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3576      , 0x407,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3577      , 0x417,      , 0x0000000042C7FFFF, 0           , 100         , 192.168.1.2
3578      , 0x406,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3579      , 0x405,      , 0xBDFD99DEBDB93DDF, -0.123829   , -0.09045    , 192.168.1.2
3580      , 0x403,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
3581      , 0x402,      , 0x00000000415AB6F7, 0           , 13.6697     , 192.168.1.2
3582      , 0x6F8,      , 0x0000000000000000, 0           , 0           , 192.168.1.2
